KY080293	auritus
KY080292	auritus
KY080291	auritus
KY080290	auritus
KY080289	auritus
KY080288	auritus
KY080287	auritus
KY080286	auritus
KY080285	auritus
KY080284	auritus
KY080283	auritus
KY080282	auritus
KY080281	auritus
KY080280	auritus
KY080279	auritus
KY080278	auritus
KY080277	auritus
KY080276	auritus
KY080275	africanus
KY080274	africanus
KY080273	africanus
KY080272	africanus
KY080271	africanus
KY079830	sp
KY079829	sp
KY079828	sp
KY079827	sp
KY079826	sp
KY079825	sp
KY079824	sp
KY079823	sp
KY079822	sp
KY079821	sp
KY079820	sp
KY079819	sp
KY079818	sp
KY079817	sp
KY079816	sp
KY079815	sp
KY079814	sp
KY079813	sp
KY079812	sp
KY079811	sp
KY079810	sp
KY079809	sp
KY079808	sp
KY079807	sp
KY079806	sp
KY079805	ruthbeateae
KY079804	horsti
KY079803	cf_hylaios
KY079802	cf_hylaios
KY079801	cf_hylaios
KY079800	cf_hylaios
KY079799	cf_hylaios
KY079798	cf_hylaios
KY079797	cf_hylaios
KY079796	batesii
KY079795	auritus
KY079794	auritus
KY079793	auritus
KY079792	auritus
KY079791	auritus
KY079790	auritus
KY079789	auritus
KY079788	auritus
KY079787	auritus
KY079786	auritus
KY079785	auritus
KY079784	auritus
KY079783	auritus
KY079782	auritus
KY079781	auritus
KY079780	auritus
KY079779	auritus
KY079778	auritus
KY079777	auritus
KY079776	auritus
KY079775	auritus
KY079774	auritus
KY079773	auritus
KY079772	auritus
KY079771	auritus
KY079770	auritus
KY079769	auritus
KY079768	auritus
KY079767	auritus
KY079766	auritus
KY079765	auritus
KY079764	auritus
KY079763	auritus
KY079762	auritus
KY079761	auritus
KY079760	auritus
KY079759	auritus
KY079758	auritus
KY079757	auritus
KY079756	auritus
KY079755	auritus
KY079754	auritus
KY079753	auritus
KY079752	auritus
KY079751	auritus
KY079750	africanus
KY079749	africanus
KY079748	africanus
KY079747	africanus
KY079746	africanus
MF683847	discogularis
KY177120	mababiensis
KY177119	ukingensis
KY177114.1 notfound
KY177110	acridoides
KY177052	ukingensis
KY177051	mababiensis
KY177050	acridoides
KY177049	natalensis
KY177048	acridoides
KY177047	pakenhami
KX671783	sp
KX671782	sp
KX671781	cornutus
KX671780	cornutus
KX671779	cornutus
KX671778	cornutus
KX671777	cornutus
KX671776	auritus
KX671775	auritus
KX671774	auritus
KX671773	africanus
KX671772	africanus
EU074984	dendrobates
EU074983	leveleve
EU074982	leveleve
EU074981	leveleve
EU074980	leveleve
EU074979	leveleve
EU074978	leveleve
EU074977	leveleve
EU074976	leveleve
EU074975	leveleve
EU074974	dispar
EU074973	dispar
EU074972	dispar
EU074971	dispar
EU074970	dispar
EU074969	dispar
EU074968	dispar
EU074967	dispar
KP247505	sp
